Year,SDG Series,Type of product,Unit of measure,BASE_PER,Base period,Value
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00388
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00387
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00409
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00394
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00342
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00308
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00307
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00286
2020,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00266
2021,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00275
2022,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00277
2023,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,0.00272
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,0.0348
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,0.04331
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,0.0445
